Hybridization REF	TCGA-67-3773-01A-01R-0946-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.6445
CREB3L1	0.5155
RPS11	1.209375
PNMA1	-1.76375
MMP2	-0.642166666666667
C10orf90	-2.2095
ZHX3	-1.707
ERCC5	-0.018
GPR98	-0.991125
RXFP3	0.832
APBB2	-0.74225
PRO0478	-0.947375
KLHL13	-1.97325
PRSSL1	-0.120666666666667
PDCL3	-0.235333333333333
DECR1	-0.455
SALL1	0.107333333333333
CADM4	-0.8105
RPS18	1.88692857142857
HNRPD	-1.53875
CFHR5	0.0284
SLC10A7	1.5575
OR2K2	0.1955
LMAN1	-0.834375
SUHW1	-2.68125
CHD8	-1.0896
SUMO1	0.8974
GP1BA	0.449
DDB1	-1.09883333333333
MYO9B	-0.3108
MMP7	8.17925
CRNKL1	-0.876125
C9orf45	-2.25766666666667
XAB2	-0.026875
RTN1	0.9895
KLHL14	-1.564625
TBX10	-0.959
CENPQ	-1.29975
UTY	-1.05521428571429
ZBTB12	-0.238
DTNBP1	0.321125
KBTBD8	0.463666666666667
ZEB1	-0.243666666666667
ZG16	-1.4895
MIER1	1.5353
ADAM5P	0.4255
CHD9	-0.128125
STK16	1.457
KIAA1486	-0.5585
TOB2	0.857833333333333
BANK1	5.87375
OR2V2	-0.093
GRM2	0.064
PROSC	0.554
SPIN2B	-0.45175
PIR	-0.710333333333333
IPO9	-0.6586
EVC	-0.924333333333333
CXCL13	4.9095
KIAA1199	-0.8046
SORL1	0.725
NAT10	-1.25775
CHD1	-0.17025
SYN3	-0.75975
SLC22A2	-0.41175
SERPINF1	-0.4525
WDR34	-1.2115
OR7A17	0.29275
C9orf11	-0.0325
RNF216L	-0.3711
LHB	0.1215
STK25	-0.920875
TAOK3	0.87075
LOC152573	6.08275
C3orf39	-0.7455
C14orf108	0.2295
CDC25B	-1.90145454545455
BMP3	1.916
TMEM180	0.5475
MAP1LC3C	0.33575
CRYGC	0.176
POU3F1	-1.2354
C20orf32	-0.315
CCDC95	-0.0775
HIGD1B	5.60525
USP6NL	-0.119875
ABCD4	0.331666666666667
DIMT1L	-0.531
TEK	0.684125
SLC25A46	0.546
LARP7	-1.3664
CD160	1.3265
MT1JP	0.170833333333333
PHF20	-1.5989375
CPNE4	-2.2635
GTPBP1	-0.822857142857143
RAB33B	1.757
ALDOC	-2.527125
ZNF212	-0.2705
NUDT1	-1.4575
RFPL2	1.01175
ZNF83	0.776333333333333
GDPD5	-1.90725
PDCD4	-0.2788
CEP350	-0.9455
OR10A2	0.251
CST7	1.707
CIAO1	-0.7015
SELL	1.038625
OR8J3	-0.42
LTBP4	-0.165
SIRT6	-0.1225
CCL19	5.666
PPIL1	-0.220833333333333
GBP7	0.692
STK17A	1.0006
ABR	-0.54675
OR9G1	0.8005
FOXE1	-0.394625
CNGA3	-0.069
GML	0.0975
CD38	0.19425
ZDHHC6	0.621333333333333
NEFH	-3.1195
CTDSP2	0.436583333333333
PGBD5	0.2555
CCNY	0.588285714285714
RMND5B	0.0571666666666667
ZNF257	-2.33125
FLJ22167	-0.59425
EXOSC7	-0.488333333333333
ROR2	-0.689625
MAOA	3.254625
TNNT3	-0.0378333333333333
GYPC	-1.127
C7orf33	1.063
PLIN	-0.155333333333333
LOC90826	0.53725
RNF4	-0.6538
F8A1	0.0153333333333333
PLEKHG4	-0.37025
GRB2	-0.3511
HIST1H2AD	0.23225
DUS3L	-0.271833333333333
EIF1	-0.1135
RP5-1077B9.4	-1.1455
FPGT	2.21475
GDF10	2.809
COQ9	-0.39925
GCC2	0.2535
RARRES3	3.53875
PLXNA1	-0.7593
KIAA0100	-0.8518
PMF1	0.56825
FNDC1	4.26325
HS2ST1	-0.0805
CRELD2	-0.05075
C8G	-2.387
CD82	-0.07625
LIM2	-1.021
UNQ6490	0.159
MMP16	-0.117
DRD3	0.03175
C5orf26	0.25975
C11orf73	0.211375
PTP4A2	0.026125
OR4M2	1.6535
HPCA	-0.483333333333333
SEC14L1	-0.696
CHFR	0.170625
EMILIN1	0.28075
NDUFS4	0.23225
COL18A1	-1.566125
PDZD3	0.1828
C9orf16	0.1155
ERBB2IP	0.276833333333333
EMX2	0.0265
FUS	-2.021
TF	-4.0107
CLCN4	-0.606833333333333
CXorf56	0.78025
C11orf72	0.44925
ELAC2	-2.0205
NPR1	-0.31275
ASS1	-2.5885
USP42	-1.119125
POLR2J	-0.18
SEC23IP	0.494333333333333
UQCRC1	-0.619
LOC729603	0.17
C1orf71	-0.00924999999999998
POLG	-2.672
ADAM23	-3.829
TFR2	-1.1625
RICTOR	0.5357
MGC39606	3.00475
C19orf55	-0.40475
SNAPC1	-0.201166666666667
GNA11	-0.236875
CCDC52	-0.335
FSIP1	-1.2815
UPF3A	-1.069875
IGSF11	-2.68666666666667
LAGE3	-0.295
CHST6	-2.2895
UNC13B	1.2505
TTLL4	-1.336125
ZNF687	-0.154
SDC2	-1.1494
COX7A2	-0.22725
LAMB4	0.2665
FAM24A	0.2285
LRRTM3	-0.9095
GPHB5	0.9995
OR4C13	0.681
EIF3EIP	0.9015
HABP4	1.3425
TMEM125	5.954
CNTN2	-0.08825
ASNSD1	0.30225
FUT4	-0.67325
ACF	-3.11325
LOC158381	1.4275
CDH8	-0.747
AGPS	-0.7905
C4orf18	0.81625
PECI	-0.545416666666667
UNG	-1.670625
GSTP1	0.801625
DCUN1D5	-0.852833333333333
DKFZP564J0863	-0.20025
SLC9A3R1	-1.94575
BCDO2	-0.164125
CHMP7	-0.422
REM2	0.3895
DNHD1	-0.4355
FKBP4	-1.651875
ZNF350	1.136
MGC11102	0.229375
BST1	1.328
KISS1R	1.0395
NCR2	1.7745
DEFB125	0.814
UBE2W	2.034875
KRT15	-2.537875
C10orf99	0.119
SCN11A	0.411
GFI1	-0.74075
RDHE2	7.152
FHL1	-0.6995
OSGEP	1.0615
GATA1	-2.64616666666667
SMC6	-1.924
TTTY14	-0.65125
LPIN3	-0.2685
RPL4	-0.8084
RBPMS	1.7429
PRPF3	-0.472166666666667
EMR1	-0.869
SPATA19	0.2065
XCR1	0.409
IRX3	2.3581
RBM6	-0.9885
KLF4	-1.1526
UNC5CL	3.884
SEBOX	-0.563
BTK	0.97075
KRCC1	1.79825
C6orf27	0.5055
SYTL5	-0.817
PRND	0.1515
LOC653319	-0.857
PIGL	-0.663375
HUS1	-0.129666666666667
SFRS6	-1.21458333333333
C17orf77	0.3175
UIMC1	-0.116
FXYD2	3.4277
LOC283152	0.89975
ZNF667	-2.13675
ZCCHC12	-1.0105
TFEC	3.6496
ATP7B	-2.05783333333333
POLD2	-2.198
RG9MTD1	-0.19675
ACOT2	0.959833333333333
HIST1H4I	-0.253
PPARGC1A	-1.4022
ETFA	-0.7455
POLRMT	-1.5755
ZNF146	-0.98975
MIA2	2.589
KLHL6	0.505666666666667
HOXB5	0.61625
NENF	0.748666666666667
CUGBP1	-1.54525
PRSS22	1.6125
CASC4	1.2129
CUL4B	0.0158
CENPJ	-1.9307
PITX1	-1.834
FLJ31033	-0.0363333333333333
CELSR3	-1.348
ZNF568	0.02
ITSN1	-0.8755
EHBP1L1	-0.746666666666667
C19orf2	-0.75925
DCTN1	-1.5165
LIN28B	-2.6985
TNKS2	0.047
C1QBP	-1.341625
CADPS2	2.882
SRMS	-0.12225
GJA9	-0.022
MGC24975	-1.5695
TRIM45	-1.45433333333333
