Hybridization REF	TCGA-55-1592-01A-01R-0946-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.00349999999999999
CREB3L1	1.3465
RPS11	0.149375
PNMA1	-0.26075
MMP2	-0.4265
C10orf90	-2.47025
ZHX3	-0.577833333333333
ERCC5	-0.52125
GPR98	0.173625
RXFP3	0.4005
APBB2	0.28525
PRO0478	-0.216
KLHL13	0.92975
PRSSL1	-0.541
PDCL3	1.24166666666667
DECR1	-0.884375
SALL1	-5.10416666666667
CADM4	0.695166666666667
RPS18	-0.159142857142857
HNRPD	-0.67825
CFHR5	0.212166666666667
SLC10A7	0.185125
OR2K2	-0.0505
LMAN1	-0.25175
SUHW1	-2.61275
CHD8	-0.811
SUMO1	0.7341
GP1BA	-0.1868
DDB1	-0.6305
MYO9B	-0.0765
MMP7	6.962
CRNKL1	0.411
C9orf45	-1.71883333333333
XAB2	-0.6035
RTN1	1.288125
KLHL14	-1.80925
TBX10	-1.048
CENPQ	-0.59875
UTY	1.71978571428571
ZBTB12	0.283
DTNBP1	0.531375
KBTBD8	-0.450333333333333
ZEB1	-0.271833333333333
ZG16	4.9805
MIER1	0.3367
ADAM5P	0.492
CHD9	-0.3863125
STK16	0.743
KIAA1486	2.1145
TOB2	0.706
BANK1	4.49
OR2V2	-0.036
GRM2	0.0276666666666667
PROSC	0.7865
SPIN2B	-0.5125
PIR	-1.69788888888889
IPO9	-0.6109
EVC	0.366333333333333
CXCL13	2.86916666666667
KIAA1199	-0.9789
SORL1	2.9405
NAT10	-0.6945
CHD1	-0.87425
SYN3	0.65775
SLC22A2	-0.518
SERPINF1	-0.381
WDR34	-1.2405
OR7A17	0.33075
C9orf11	-0.1445
RNF216L	-0.5244
LHB	-0.356
STK25	-0.170125
TAOK3	0.418
LOC152573	1.32475
C3orf39	0.2275
C14orf108	0.5004
CDC25B	-1.33318181818182
BMP3	2.3155
TMEM180	0.527
MAP1LC3C	0.25275
CRYGC	-1.5195
POU3F1	-1.8235
C20orf32	-0.2395
CCDC95	-0.076
HIGD1B	4.1995
USP6NL	0.40775
ABCD4	-0.0971666666666667
DIMT1L	-0.784833333333333
TEK	1.186
SLC25A46	-0.5445
LARP7	-1.6039
CD160	0.569833333333333
MT1JP	0.7605
PHF20	-0.4083125
CPNE4	1.09725
GTPBP1	-0.7055
RAB33B	0.292333333333333
ALDOC	-1.58575
ZNF212	0.34075
NUDT1	-1.32016666666667
RFPL2	-0.428
ZNF83	0.178833333333333
GDPD5	-0.6165
PDCD4	0.39465
CEP350	-0.085
OR10A2	0.378
CST7	0.7125
CIAO1	-0.35625
SELL	0.68375
OR8J3	-0.632
LTBP4	0.111333333333333
SIRT6	-0.6325
CCL19	5.01025
PPIL1	-0.2695
GBP7	0.642333333333333
STK17A	-0.9082
ABR	0.46675
OR9G1	-0.3305
FOXE1	1.5835
CNGA3	2.3415
GML	-0.042
CD38	-0.492
ZDHHC6	0.101666666666667
NEFH	-0.06875
CTDSP2	0.242666666666667
PGBD5	-1.09016666666667
CCNY	0.833642857142857
RMND5B	-0.357166666666667
ZNF257	-0.04425
FLJ22167	-0.663625
EXOSC7	-0.7135
ROR2	-0.501875
MAOA	4.775
TNNT3	-0.3505
GYPC	-1.67025
C7orf33	1.5325
PLIN	-0.1265
LOC90826	0.09775
RNF4	-0.2281
F8A1	1.8045
PLEKHG4	-2.1105
GRB2	0.11845
HIST1H2AD	0.57525
DUS3L	-0.847666666666667
EIF1	0.404
RP5-1077B9.4	-0.969333333333333
FPGT	1.6635
GDF10	1.7785
COQ9	-0.8785
GCC2	0.605
RARRES3	3.038875
PLXNA1	-0.2667
KIAA0100	-0.2965
PMF1	0.71375
FNDC1	3.704
HS2ST1	0.725
CRELD2	1.18575
C8G	-2.17
CD82	0.51775
LIM2	-1.963
UNQ6490	-0.7115
MMP16	-1.65975
DRD3	-0.026
C5orf26	-1.7215
C11orf73	-0.186625
PTP4A2	0.987375
OR4M2	0.5495
HPCA	-1.0905
SEC14L1	-0.0726666666666667
CHFR	0.459875
EMILIN1	0.735125
NDUFS4	-0.59925
COL18A1	-1.534
PDZD3	0.2439
C9orf16	-0.436
ERBB2IP	0.0703333333333333
EMX2	-0.29025
FUS	-1.8675
TF	-2.1643
CLCN4	1.34283333333333
CXorf56	2.193
C11orf72	0.12775
ELAC2	-1.70025
NPR1	-0.342
ASS1	-0.650166666666667
USP42	-0.464875
POLR2J	-0.4715
SEC23IP	0.862166666666667
UQCRC1	-0.61475
LOC729603	0.066
C1orf71	0.564375
POLG	-2.267
ADAM23	-4.1185
TFR2	-1.76325
RICTOR	0.1636
MGC39606	1.92925
C19orf55	-0.542875
SNAPC1	-0.809333333333333
GNA11	0.132625
CCDC52	-0.8555
FSIP1	-0.7775
UPF3A	-0.6035
IGSF11	-2.07016666666667
LAGE3	1.225
CHST6	2.1335
UNC13B	1.719375
TTLL4	-0.936875
ZNF687	-0.464875
SDC2	-0.3382
COX7A2	0.506
LAMB4	0.011
FAM24A	0.4415
LRRTM3	-1.02983333333333
GPHB5	-0.2825
OR4C13	0.5865
EIF3EIP	-0.0478571428571428
HABP4	-0.503
TMEM125	5.351
CNTN2	-0.62575
ASNSD1	0.0955
FUT4	0.778125
ACF	-3.597
LOC158381	0.3355
CDH8	-0.06875
AGPS	-0.199666666666667
C4orf18	1.324375
PECI	-0.445333333333333
UNG	-1.00725
GSTP1	1.241125
DCUN1D5	-0.751333333333333
