Hybridization REF	TCGA-35-3621-01A-01R-1107-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.655416666666667
CREB3L1	1.68225
RPS11	1.32125
PNMA1	-1.05875
MMP2	-0.00466666666666667
C10orf90	-2.022
ZHX3	-0.5455
ERCC5	-0.311
GPR98	-1.115
RXFP3	0.673
APBB2	-0.29325
PRO0478	-0.78475
KLHL13	-2.676
PRSSL1	1.10666666666667
PDCL3	0.0393333333333333
DECR1	-0.073625
SALL1	-3.60216666666667
CADM4	0.3665
RPS18	1.35971428571429
HNRPD	-2.00241666666667
CFHR5	1.08575
SLC10A7	0.224
OR2K2	0.8185
LMAN1	-0.450875
SUHW1	-3.09875
CHD8	-1.0202
SUMO1	0.8286
GP1BA	0.9595
DDB1	-0.9125
MYO9B	-0.2632
MMP7	7.43625
CRNKL1	-0.528625
C9orf45	-2.316
XAB2	-0.3125
RTN1	1.665875
KLHL14	-0.469125
TBX10	-0.7185
CENPQ	-0.68825
UTY	-0.604071428571429
ZBTB12	-0.1205
DTNBP1	0.259875
KBTBD8	1.123
ZEB1	0.140666666666667
ZG16	-0.16475
MIER1	0.527
ADAM5P	0.176
CHD9	-0.25775
STK16	0.79425
KIAA1486	0.3645
TOB2	0.226833333333333
BANK1	5.06975
OR2V2	0.259
GRM2	0.3355
PROSC	0.446625
SPIN2B	0.1385
PIR	-0.924444444444445
IPO9	-0.9207
EVC	0.278
CXCL13	6.83483333333333
KIAA1199	0.449444444444444
SORL1	0.73325
NAT10	-1.25675
CHD1	-1.1525
SYN3	0.359
SLC22A2	-0.39625
SERPINF1	0.868666666666667
WDR34	-1.67725
OR7A17	0.4505
C9orf11	0.147
RNF216L	0.1848
LHB	0.5775
STK25	-1.195125
TAOK3	0.254125
LOC152573	1.0475
C3orf39	-0.03675
C14orf108	0.1265
CDC25B	-0.172636363636364
BMP3	2.3675
TMEM180	0.1105
MAP1LC3C	1.905
CRYGC	-0.4055
POU3F1	-0.9753
C20orf32	-0.258
CCDC95	-0.2135
HIGD1B	4.6565
USP6NL	-0.64675
ABCD4	0.417333333333333
DIMT1L	-0.3845
TEK	0.54375
SLC25A46	0.14
LARP7	-1.5631
CD160	1.24516666666667
MT1JP	-0.261166666666667
PHF20	-1.1225625
CPNE4	-1.069
GTPBP1	-0.999071428571429
RAB33B	0.735833333333333
ALDOC	-1.920375
ZNF212	-0.53475
NUDT1	-1.22833333333333
RFPL2	-0.6445
ZNF83	0.332
GDPD5	-0.70875
PDCD4	0.1814
CEP350	-0.87525
OR10A2	0.371
CST7	2.60275
CIAO1	-0.28025
SELL	2.404875
OR8J3	-0.679
LTBP4	-0.1085
SIRT6	-0.196
CCL19	6.64125
PPIL1	-0.296333333333333
GBP7	-0.2308
STK17A	0.6498
ABR	-0.06075
OR9G1	-0.6445
FOXE1	-0.275125
CNGA3	1.5445
GML	0.088
CD38	1.448
ZDHHC6	0.633166666666667
NEFH	-3.32525
CTDSP2	-0.238833333333333
PGBD5	-1.41216666666667
CCNY	0.482857142857143
RMND5B	0.110333333333333
ZNF257	-2.37025
FLJ22167	0.208625
EXOSC7	-0.820333333333333
ROR2	-0.11125
MAOA	3.57575
TNNT3	0.189
GYPC	-0.843
C7orf33	1.258
PLIN	0.532833333333333
LOC90826	0.04175
RNF4	-0.6048
F8A1	0.152833333333333
PLEKHG4	-1.307
GRB2	-0.055
HIST1H2AD	-1.97875
DUS3L	-0.6505
EIF1	0.665166666666667
RP5-1077B9.4	-1.01183333333333
FPGT	1.202
GDF10	1.92066666666667
COQ9	-0.583
GCC2	0.103214285714286
RARRES3	4.224625
PLXNA1	-0.4582
KIAA0100	-0.5391
PMF1	0.9145
FNDC1	3.76575
HS2ST1	-0.303583333333333
CRELD2	0.638
C8G	-1.922
CD82	0.522
LIM2	-0.9145
UNQ6490	-0.769
MMP16	0.4175
DRD3	0.19825
C5orf26	-0.66025
C11orf73	0.305625
PTP4A2	0.9285
OR4M2	-0.573
HPCA	-1.12433333333333
SEC14L1	-0.577166666666667
CHFR	-0.05025
EMILIN1	0.672125
NDUFS4	0.103
COL18A1	-1.171125
PDZD3	-0.0632
C9orf16	0.211
ERBB2IP	0.207
EMX2	-0.0655
FUS	-2.25275
TF	-4.5126
CLCN4	0.0193333333333333
CXorf56	0.09425
C11orf72	0.34075
ELAC2	-2.11016666666667
NPR1	-1.5415
ASS1	-0.36
USP42	-0.62475
POLR2J	-0.5395
SEC23IP	0.330666666666667
UQCRC1	-0.51975
LOC729603	-0.8255
C1orf71	-0.697875
POLG	-2.9845
ADAM23	-4.07275
TFR2	-0.98625
RICTOR	-0.5806
MGC39606	1.327
C19orf55	-0.426875
SNAPC1	-0.534333333333333
GNA11	-0.67525
CCDC52	-1.02033333333333
FSIP1	-0.4195
UPF3A	-0.9855
IGSF11	-2.027
LAGE3	-0.21775
CHST6	-0.2695
UNC13B	0.06475
TTLL4	-1.36775
ZNF687	-0.586125
SDC2	-0.0046
COX7A2	0.694
LAMB4	0.1005
FAM24A	0.3765
LRRTM3	0.00733333333333332
GPHB5	0.68225
OR4C13	-0.971
EIF3EIP	0.352214285714286
HABP4	-0.5115
TMEM125	6.32725
CNTN2	0.083
ASNSD1	0.39575
FUT4	-0.301
ACF	-2.89225
LOC158381	1.707
CDH8	0.35525
AGPS	-0.902666666666667
C4orf18	0.796625
PECI	-0.2785
UNG	-1.719875
GSTP1	0.9765
DCUN1D5	-1.39283333333333
DKFZP564J0863	-0.078
SLC9A3R1	-1.209625
BCDO2	0.203375
CHMP7	-0.346125
REM2	-0.509
DNHD1	-0.296875
FKBP4	-2.814875
ZNF350	0.87475
MGC11102	0.171375
BST1	2.6125
KISS1R	0.851
NCR2	0.7055
DEFB125	0.053
UBE2W	2.035
KRT15	-0.008625
C10orf99	0.3205
SCN11A	-0.36775
GFI1	0.369
RDHE2	4.03866666666667
FHL1	-0.488833333333333
OSGEP	0.909833333333333
GATA1	-2.629
SMC6	-1.73725
TTTY14	-0.6135
LPIN3	0.12
RPL4	-0.7423
RBPMS	0.9493
PRPF3	-0.506666666666667
EMR1	-0.4015
SPATA19	-0.10075
XCR1	0.076
IRX3	0.7607
RBM6	-0.618
KLF4	-0.8088
UNC5CL	2.77475
SEBOX	-0.2985
BTK	1.8475
KRCC1	1.874
C6orf27	0.4625
SYTL5	-0.0485
PRND	1.624375
LOC653319	-1.2055
PIGL	-0.24625
HUS1	0.7065
SFRS6	-0.390166666666667
C17orf77	0.124
UIMC1	-0.360666666666667
FXYD2	-1.3263
LOC283152	2.65225
ZNF667	-1.0785
ZCCHC12	-0.48575
TFEC	3.7501
ATP7B	-1.13633333333333
POLD2	-2.30633333333333
RG9MTD1	-0.3115
ACOT2	0.410166666666667
HIST1H4I	-0.178875
PPARGC1A	-0.9496
ETFA	-0.0251
POLRMT	-1.157
ZNF146	-1.451375
MIA2	-0.1755
KLHL6	1.16316666666667
HOXB5	0.90575
NENF	1.5655
CUGBP1	-1.18275
PRSS22	1.85916666666667
CASC4	0.759
CUL4B	0.2181
CENPJ	-1.8965
PITX1	-1.64716666666667
FLJ31033	0.709666666666667
CELSR3	-0.886166666666667
ZNF568	-0.15525
ITSN1	-0.746583333333333
EHBP1L1	-0.698666666666667
C19orf2	-0.7315
DCTN1	-0.98875
LIN28B	-2.02366666666667
TNKS2	1.31775
C1QBP	-1.314125
CADPS2	1.29875
SRMS	-0.22925
GJA9	-0.139666666666667
MGC24975	-0.942166666666667
TRIM45	-1.92283333333333
TSP50	0.56275
TCP1	-1.782
TMED7	1.16
CMA1	0.8405
CENPL	-0.841
PTCRA	1.3695
FST	-4.4535
VWCE	-3.8745
PAWR	-0.419
ABCC12	0.2532
LDLR	-2.019
ASTN2	0.0614
LOC441212	-0.351625
GPATCH8	-0.4515
TANC2	-0.711916666666667
KIF4A	-3.25625
C18orf18	-0.425
PGM1	-1.10275
KIAA0258	-0.21525
CPD	0.1465
SNCAIP	-0.86275
DCT	-4.23283333333333
HLA-DOA	3.9955
OR11L1	1.4395
UPK1B	0.506833333333333
DNAJB4	-0.741375
UGT1A8	0.007
HIST1H4L	0.4655
PECR	-0.848
HSPA2	0.18625
WFIKKN1	-1.5875
SERP1	1.6115
SYDE2	-0.86575
TACR2	0.482
NUP85	-1.0105
CD177	0.208333333333333
LGR5	-0.958666666666667
PIGG	-0.22825
PTHR1	-1.4395
RAB5A	-0.5231
FLJ13224	0.4065
USP9Y	-1.215
C7orf53	-2.107
LRP1B	-0.09225
XAF1	2.1769
ABCG8	1.265
ANKDD1A	0.0731666666666667
DAND5	-1.6055
SPAG6	3.69433333333333
LINCR	1.33075
ZDHHC22	-0.962625
CCDC60	1.201
THOC7	-0.940833333333333
TCTA	0.9391
OR8K3	0.37375
NY-REN-7	1.02
B2M	3.0535
C6orf141	-1.323
LPPR4	2.883
SQLE	-1.99275
SEPHS1	-0.9215
BTBD14B	0.309285714285714
PLRG1	-0.0705
SPG7	-1.5780625
ZNF614	0.277333333333333
PARD6G	0.788333333333333
INPP5B	-0.941222222222222
GRPEL2	0.152125
PPID	-1.1962
TRIM56	-1.51075
UBE2J1	0.90375
IL20RA	3.219
LOC387856	-0.49525
C1orf107	-0.719583333333333
UTS2R	1.1425
C19orf22	-0.15625
SAFB2	-0.754
KIAA0652	-0.54775
KLRG1	1.37583333333333
MS4A8B	4.4825
FRAG1	0.04575
