Hybridization REF	TCGA-05-4244-01A-01R-1107-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.672454545454546
CREB3L1	-0.3475
RPS11	0.202125
PNMA1	-0.6705
MMP2	-2.086
C10orf90	-1.2245
ZHX3	-1.54533333333333
ERCC5	-0.42725
GPR98	2.74683333333333
RXFP3	0.428
APBB2	-1.235
PRO0478	-0.797
KLHL13	-2.2645
PRSSL1	-0.664333333333333
PDCL3	0.102
DECR1	0.411125
SALL1	-1.25816666666667
CADM4	0.28
RPS18	0.698285714285714
HNRPD	-1.20275
CFHR5	0.82
SLC10A7	1.054
OR2K2	null
LMAN1	-0.37625
SUHW1	-1.559
CHD8	-0.9196
SUMO1	0.4101
GP1BA	-0.9217
DDB1	-0.714833333333333
MYO9B	-0.5666
MMP7	7.78
CRNKL1	-0.362875
C9orf45	-0.8278
XAB2	-2.24375
RTN1	1.58916666666667
KLHL14	-0.621
TBX10	-0.6735
CENPQ	-1.09075
UTY	-1.33755555555556
ZBTB12	0.237
DTNBP1	0.85475
KBTBD8	-0.3475
ZEB1	-1.1722
ZG16	-0.764
MIER1	0.380777777777778
ADAM5P	null
CHD9	-0.8565
STK16	-1.2805
KIAA1486	0.4525
TOB2	-0.4845
BANK1	4.57633333333333
OR2V2	-1.337
GRM2	-0.0818333333333333
PROSC	-0.554
SPIN2B	-0.70725
PIR	-1.76588888888889
IPO9	-0.099375
EVC	-0.362333333333333
CXCL13	2.95
KIAA1199	2.5156
SORL1	-0.26425
NAT10	-0.63625
CHD1	0.27775
SYN3	0.102
SLC22A2	-0.0750000000000001
SERPINF1	-1.41916666666667
WDR34	-1.2595
OR7A17	-0.949333333333333
C9orf11	0.474
RNF216L	-0.6624
LHB	-0.322
STK25	-0.932375
TAOK3	0.146875
LOC152573	5.1695
C3orf39	-1.1835
C14orf108	-1.1537
CDC25B	0.318818181818182
BMP3	0.838
TMEM180	-0.6105
MAP1LC3C	3.15625
CRYGC	-0.851
POU3F1	-0.948888888888889
C20orf32	-2.5715
CCDC95	-0.207
HIGD1B	4.05675
USP6NL	-0.091375
ABCD4	0.4805
DIMT1L	-0.158
TEK	1.27871428571429
SLC25A46	0.522
LARP7	-1.77388888888889
CD160	1.61166666666667
MT1JP	-0.515166666666667
PHF20	-0.554466666666667
CPNE4	3.19975
GTPBP1	-0.972928571428571
RAB33B	1.59366666666667
ALDOC	-1.3885
ZNF212	-0.2995
NUDT1	-0.333333333333333
RFPL2	-1.75666666666667
ZNF83	-1.7945
GDPD5	-2.3575
PDCD4	-1.18627777777778
CEP350	0.3515
OR10A2	-0.01975
CST7	-0.116
CIAO1	0.661
SELL	0.5108
OR8J3	-0.32
LTBP4	-0.5305
SIRT6	-0.0555
CCL19	4.6685
PPIL1	-0.5736
GBP7	0.6788
STK17A	0.9364
ABR	-0.177
OR9G1	2.864
FOXE1	1.1975
CNGA3	null
GML	0.2325
CD38	-1.15625
ZDHHC6	0.0195
NEFH	-2.65925
CTDSP2	0.665333333333333
PGBD5	-1.0526
CCNY	-0.0580714285714286
RMND5B	0.414333333333333
ZNF257	-4.29933333333333
FLJ22167	0.271285714285714
EXOSC7	-0.656833333333333
ROR2	-1.088875
MAOA	1.828375
TNNT3	0.09875
GYPC	-2.29075
C7orf33	null
PLIN	-0.2526
LOC90826	0.48275
RNF4	-0.1095
F8A1	0.449666666666667
PLEKHG4	0.60625
GRB2	-0.2918
HIST1H2AD	-0.9525
DUS3L	-1.12483333333333
EIF1	0.436833333333333
RP5-1077B9.4	-1.59883333333333
FPGT	1.165
GDF10	1.30016666666667
COQ9	-0.3145
GCC2	0.385785714285714
RARRES3	3.196625
PLXNA1	0.122444444444444
KIAA0100	-0.2006
PMF1	0.39
FNDC1	2.662
HS2ST1	-0.40825
CRELD2	0.187
C8G	-0.892
CD82	0.09275
LIM2	-0.544
UNQ6490	null
MMP16	0.67
DRD3	-0.252666666666667
C5orf26	-1.05
C11orf73	-0.140714285714286
PTP4A2	1.543375
OR4M2	-3.24
HPCA	-2.04433333333333
SEC14L1	-1.46033333333333
CHFR	0.141
EMILIN1	-0.637142857142857
NDUFS4	0.32975
COL18A1	-1.849375
PDZD3	0.062375
C9orf16	-0.470666666666667
ERBB2IP	0.828666666666667
EMX2	-2.819
FUS	-2.408
TF	-4.079
CLCN4	0.1934
CXorf56	-0.18325
C11orf72	-0.0756666666666666
ELAC2	-1.4945
NPR1	-0.28225
ASS1	-1.36816666666667
USP42	0.132
POLR2J	-0.815
SEC23IP	0.511333333333333
UQCRC1	-0.6395
LOC729603	-3.163
C1orf71	0.1225
POLG	-1.928
ADAM23	-3.018
TFR2	-0.6495
RICTOR	0.45175
MGC39606	0.8475
C19orf55	-0.6625
SNAPC1	-0.381833333333333
GNA11	1.14825
CCDC52	0.104333333333333
FSIP1	0.97
UPF3A	-1.499875
IGSF11	-0.6805
LAGE3	0.29075
CHST6	0.243
UNC13B	0.655
TTLL4	-1.547375
ZNF687	0.590875
SDC2	-1.5071
COX7A2	0.40225
LAMB4	-0.4835
FAM24A	2.955
LRRTM3	-0.7982
GPHB5	-0.3405
OR4C13	null
EIF3EIP	-0.0714166666666666
HABP4	-0.9015
TMEM125	5.11725
CNTN2	-0.115333333333333
ASNSD1	-0.40325
FUT4	-0.28
ACF	-2.7245
LOC158381	-0.086
CDH8	-7.224
AGPS	-0.212
C4orf18	-0.082625
PECI	-1.07658333333333
UNG	-0.829125
GSTP1	-0.493
DCUN1D5	-0.5525
DKFZP564J0863	0.069
SLC9A3R1	-1.293625
BCDO2	0.783428571428571
CHMP7	-1.747
REM2	2.14
DNHD1	-0.325285714285714
FKBP4	-1.522375
ZNF350	0.71675
MGC11102	0.29275
BST1	1.26725
KISS1R	0.3925
NCR2	0.6095
DEFB125	null
UBE2W	1.946375
KRT15	-0.20875
C10orf99	-0.841
SCN11A	1.295
GFI1	-0.87475
RDHE2	6.034
FHL1	-1.3328
OSGEP	0.0621666666666667
GATA1	-4.2045
SMC6	-0.658
TTTY14	-0.18875
LPIN3	-0.1915
RPL4	-1.1824
RBPMS	0.7153
PRPF3	0.0171666666666667
EMR1	-0.704
SPATA19	-3.84333333333333
XCR1	0.231
IRX3	1.0114
RBM6	-0.87125
KLF4	-1.48675
UNC5CL	4.06675
SEBOX	-0.774
BTK	0.371
KRCC1	2.37275
C6orf27	0.542
SYTL5	0.4245
PRND	-1.16
LOC653319	-0.841
PIGL	0.33625
HUS1	0.222166666666667
SFRS6	0.301416666666667
C17orf77	0.955
UIMC1	0.2035
FXYD2	-0.9024
LOC283152	0.886
ZNF667	-2.83825
ZCCHC12	-1.51175
TFEC	3.0025
ATP7B	-1.1564
POLD2	-1.752
RG9MTD1	-0.5665
ACOT2	-0.426666666666667
HIST1H4I	-0.852375
PPARGC1A	-0.693777777777778
ETFA	-1.272
POLRMT	0.014
ZNF146	-0.623285714285714
MIA2	-0.326
KLHL6	0.199166666666667
HOXB5	-0.319375
NENF	1.47466666666667
CUGBP1	0.80875
PRSS22	2.21266666666667
CASC4	0.338888888888889
CUL4B	0.8148
CENPJ	-1.8685
PITX1	-1.29016666666667
FLJ31033	0.7538
CELSR3	-0.0436666666666667
ZNF568	-2.44475
ITSN1	-1.1055
EHBP1L1	-0.814
C19orf2	-1.05675
DCTN1	-1.762
LIN28B	-1.28425
TNKS2	0.64325
C1QBP	-0.9525
CADPS2	1.122
SRMS	-0.909333333333333
GJA9	-1.32525
MGC24975	-1.28216666666667
TRIM45	-0.220333333333333
TSP50	0.203333333333333
TCP1	-1.686
TMED7	0.9964
CMA1	-2.225
CENPL	-0.306833333333333
PTCRA	0.247
FST	-5.79375
VWCE	-3.87875
PAWR	0.206
ABCC12	0.459
LDLR	-1.0649
ASTN2	-0.413
LOC441212	-0.61375
GPATCH8	-0.27275
TANC2	0.301909090909091
KIF4A	-2.088
C18orf18	-0.64975
PGM1	1.06025
KIAA0258	1.77
CPD	2.58875
SNCAIP	-4.21666666666667
DCT	-5.8192
HLA-DOA	2.39033333333333
OR11L1	0.396
UPK1B	-0.30025
DNAJB4	-0.718625
UGT1A8	0.266333333333333
HIST1H4L	-0.1055
PECR	0.144833333333333
HSPA2	1.0555
WFIKKN1	-2.338
SERP1	-0.029125
SYDE2	0.4355
TACR2	0.186
NUP85	-0.4
CD177	-0.6098
LGR5	-1.2078
PIGG	-0.638583333333333
PTHR1	-2.07666666666667
RAB5A	-0.3386
FLJ13224	0.0255
USP9Y	-0.516
C7orf53	-0.918
LRP1B	-0.106666666666667
XAF1	0.8879
ABCG8	null
ANKDD1A	-0.6092
DAND5	-2.607
SPAG6	1.612
LINCR	-0.20775
ZDHHC22	-0.682333333333333
CCDC60	null
THOC7	-1.23233333333333
TCTA	-0.1626
OR8K3	-0.9075
NY-REN-7	0.8295
B2M	1.6854
C6orf141	-2.625
LPPR4	-0.26
SQLE	-1.313
SEPHS1	-1.2
BTBD14B	0.602076923076923
PLRG1	-0.112
SPG7	-1.32986666666667
ZNF614	-0.1285
PARD6G	0.254666666666667
INPP5B	-0.612555555555556
GRPEL2	0.097
PPID	-1.0416
TRIM56	-0.448
UBE2J1	0.50725
IL20RA	0.759
LOC387856	0.359
C1orf107	0.837181818181818
UTS2R	0.32525
C19orf22	0.80625
SAFB2	-1.08014285714286
KIAA0652	-0.59375
KLRG1	-0.2435
MS4A8B	4.00166666666667
FRAG1	0.081
KIAA1546	-0.6145
E2F4	-1.4847
CLEC4M	-3.47425
BTBD14A	-0.454
KIAA0999	0.7462
GYPA	-4.146
TAC1	-4.577
TRAIP	-1.65233333333333
KIAA0232	-0.576333333333333
ERCC8	-0.33725
GPX4	2.588875
KIAA0368	-1.629375
GPR157	-0.1585
CTAGE4	1.3085
C9orf30	-0.797
OR52A1	0.8375
HSP90B3P	0.3955
ALG9	-1.6817
BTBD10	0.882
SDK2	0.652333333333333
BAIAP3	-0.484666666666667
RABGGTB	-0.35925
ANKRD40	0.735166666666667
KRT74	-2.167
CALCOCO2	-0.286857142857143
SNCA	-3.8145
TMSL8	-4.3145
C2orf53	null
ESRRB	-0.135
ARHGAP26	0.66575
TDRD9	-2.99125
HRAS	-1.24866666666667
KLRC4	-0.9545
JAGN1	-0.334333333333333
BSDC1	0.47875
RNF43	1.09444444444444
NDUFAF1	-0.32475
PHF12	-1.75633333333333
OR1L3	-0.346666666666667
FOLR2	1.23766666666667
LYZL6	-0.8505
tcag7.1260	-1.021
WSB1	2.046
PROS1	0.0145
OSTN	-0.918
PSMB8	1.59075
SOCS4	-0.437714285714286
DDIT4L	4.70575
MAS1	null
MGC34796	1.11125
CSHL1	-0.4326
TBCCD1	-2.2334
ZBTB7C	-4.072
AP2S1	-0.303875
P15RS	-0.5245
VAT1	-1.3389
SHANK3	-0.659833333333333
TUFM	-0.3435
THEG	0.5355
KRT34	-0.860333333333334
SGSM3	-1.0305
TOMM22	0.413625
SOCS3	1.4512
CPO	0.7935
POP4	0.79125
BHLHB3	0.99125
MALL	3.71425
OR1B1	1.5025
PARK2	-0.429
GPR124	-0.517125
LCE1E	null
RUVBL2	-1.3345
CGRRF1	1.114
ACPL2	-0.906
WNT10B	-0.277
BAIAP2L2	-0.028375
ISCA1	0.3655
C1orf125	0.8635
RPAP1	-1.1365
RAI16	-0.819666666666667
RPL27	0.6375
NLRP9	null
EPN1	-1.4305
LOC388610	-0.121125
SLC35A1	0.0736
GAL	-4.28
SLC14A2	0.05975
RDH11	-1.12833333333333
FAM138F	-0.894
AUH	-0.08875
FLJ40243	0.257
C14orf129	0.552333333333333
MBD2	-0.2162
ABHD14B	-0.433571428571429
PIGT	-0.036875
ALS2CR4	-0.396142857142857
ALAS1	-0.0387
FOXO1	0.600333333333333
CRLF3	0.30375
C20orf107	-2.642
FARS2	-0.53475
CCDC28A	1.673
NPHP3	-0.4105
OR13F1	0.2495
TSEN54	-0.685
DEFB106B	-0.578
OR8B4	0.026
STH	-0.99375
ZC3H14	-0.446875
CBX2	null
TMEM49	1.12925
C6orf21	-3.527
FLJ20920	-0.471625
CRTAP	-1.07057142857143
DDX50	-0.3455
STYXL1	0.169
BLVRB	-0.081
LOC147650	-0.481833333333333
MMP24	0.88375
GRID1	1.26275
BANF1	-0.652666666666667
CTAGEP	-0.09625
HMBS	-0.69975
SLC25A24	-0.596166666666667
C14orf50	-1.1565
MRO	1.398
SLC25A15	-1.22725
FAM84B	2.00266666666667
